Value,HRUCODE,HRUDESC,FRAC
1,10221,Open_Space-A-High-1,1
2,11221,Forest-A-High-1,1
3,11421,Forest-C-High-1,1
4,11421,Forest-C-High-1,1
5,11221,Forest-A-High-1,1
6,10421,Open_Space-C-High-1,1
7,10221,Open_Space-A-High-1,1
8,10421,Open_Space-C-High-1,1
9,11221,Forest-A-High-1,1
10,3000,Dev_Residential-All-All-All,0.56448504
10,6420,Dev_Pervious-C-High-All,0.43551496
11,10221,Open_Space-A-High-1,1
12,11221,Forest-A-High-1,1
13,4001,Dev_Roof-All-All-1,0.56448504
13,6420,Dev_Pervious-C-High-All,0.43551496
14,10221,Open_Space-A-High-1,1
15,11221,Forest-A-High-1,1
16,4001,Dev_Roof-All-All-1,0.556982786
16,6410,Dev_Pervious-C-Low-All,0.443017214
17,10221,Open_Space-A-High-1,1
18,11421,Forest-C-High-1,1
19,11421,Forest-C-High-1,1
20,10421,Open_Space-C-High-1,1
21,3000,Dev_Residential-All-All-All,0.556982786
21,6410,Dev_Pervious-C-Low-All,0.443017214
22,11411,Forest-C-Low-1,1
23,10421,Open_Space-C-High-1,1
24,10411,Open_Space-C-Low-1,1
25,11421,Forest-C-High-1,1
26,10211,Open_Space-A-Low-1,1
27,11211,Forest-A-Low-1,1
28,4001,Dev_Roof-All-All-1,0.556982786
28,6410,Dev_Pervious-C-Low-All,0.443017214
29,5002,Dev_Road-All-All-2,0.688017998
29,6420,Dev_Pervious-C-High-All,0.311982002
30,11411,Forest-C-Low-1,1
31,5002,Dev_Road-All-All-2,0.879078388
31,6420,Dev_Pervious-C-High-All,0.120921612
32,10421,Open_Space-C-High-1,1
33,10411,Open_Space-C-Low-1,1
34,4001,Dev_Roof-All-All-1,0.18816168
34,4002,Dev_Roof-All-All-2,0.18816168
34,4003,Dev_Roof-All-All-3,0.18816168
34,6420,Dev_Pervious-C-High-All,0.43551496
35,4001,Dev_Roof-All-All-1,0.185660929
35,4002,Dev_Roof-All-All-2,0.185660929
35,4003,Dev_Roof-All-All-3,0.185660929
35,6410,Dev_Pervious-C-Low-All,0.443017214
36,5003,Dev_Road-All-All-3,0.879078388
36,6420,Dev_Pervious-C-High-All,0.120921612
37,5001,Dev_Road-All-All-1,0.879078388
37,6410,Dev_Pervious-C-Low-All,0.120921612
38,3000,Dev_Residential-All-All-All,0.231900295
38,6420,Dev_Pervious-C-High-All,0.768099705
39,4001,Dev_Roof-All-All-1,0.231900295
39,6420,Dev_Pervious-C-High-All,0.768099705
40,11411,Forest-C-Low-1,1
41,10411,Open_Space-C-Low-1,1
42,4001,Dev_Roof-All-All-1,0.56448504
42,6420,Dev_Pervious-C-High-All,0.43551496
43,5001,Dev_Road-All-All-1,0.688017998
43,6410,Dev_Pervious-C-Low-All,0.311982002
44,10411,Open_Space-C-Low-1,1
45,3000,Dev_Residential-All-All-All,0.141293747
45,6410,Dev_Pervious-C-Low-All,0.858706253
46,11421,Forest-C-High-1,1
47,5001,Dev_Road-All-All-1,0.688017998
47,6220,Dev_Pervious-A-High-All,0.311982002
48,3000,Dev_Residential-All-All-All,0.19985984
48,6410,Dev_Pervious-C-Low-All,0.80014016
49,11411,Forest-C-Low-1,1
50,4001,Dev_Roof-All-All-1,0.19985984
50,6410,Dev_Pervious-C-Low-All,0.80014016
51,10221,Open_Space-A-High-1,1
52,3000,Dev_Residential-All-All-All,0.56448504
52,6220,Dev_Pervious-A-High-All,0.43551496
53,10411,Open_Space-C-Low-1,1
54,10411,Open_Space-C-Low-1,1
55,11411,Forest-C-Low-1,1
56,1000,Dev_Commercial-All-All-All,0.776890064
56,6410,Dev_Pervious-C-Low-All,0.223109936
57,4001,Dev_Roof-All-All-1,0.119521548
57,4002,Dev_Roof-All-All-2,0.239043097
57,4003,Dev_Roof-All-All-3,0.418325419
57,6410,Dev_Pervious-C-Low-All,0.223109936
58,14000,Water-All-All-All,1
59,3000,Dev_Residential-All-All-All,0.138271179
59,6420,Dev_Pervious-C-High-All,0.861728821
60,11221,Forest-A-High-1,1
61,3000,Dev_Residential-All-All-All,0.879078388
61,6410,Dev_Pervious-C-Low-All,0.120921612
62,10411,Open_Space-C-Low-1,1
63,11411,Forest-C-Low-1,1
64,11411,Forest-C-Low-1,1
65,4001,Dev_Roof-All-All-1,0.185958965
65,4002,Dev_Roof-All-All-2,0.185958965
65,4003,Dev_Roof-All-All-3,0.185958965
65,6410,Dev_Pervious-C-Low-All,0.442123105
66,4001,Dev_Roof-All-All-1,0.138271179
66,6410,Dev_Pervious-C-Low-All,0.861728821
67,4001,Dev_Roof-All-All-1,0.110868918
67,6410,Dev_Pervious-C-Low-All,0.889131082
68,4001,Dev_Roof-All-All-1,0.19985984
68,6410,Dev_Pervious-C-Low-All,0.80014016
69,3000,Dev_Residential-All-All-All,0.231900295
69,6220,Dev_Pervious-A-High-All,0.768099705
70,3000,Dev_Residential-All-All-All,0.19985984
70,6220,Dev_Pervious-A-High-All,0.80014016
71,3000,Dev_Residential-All-All-All,0.110868918
71,6410,Dev_Pervious-C-Low-All,0.889131082
72,10411,Open_Space-C-Low-1,1
73,3000,Dev_Residential-All-All-All,0.557876895
73,6410,Dev_Pervious-C-Low-All,0.442123105
74,4001,Dev_Roof-All-All-1,0.557876895
74,6410,Dev_Pervious-C-Low-All,0.442123105
75,8421,Horticulture-C-High-1,1
76,5001,Dev_Road-All-All-1,0.857652155
76,6410,Dev_Pervious-C-Low-All,0.142347845
77,11411,Forest-C-Low-1,1
78,10411,Open_Space-C-Low-1,1
79,4001,Dev_Roof-All-All-1,0.066619947
79,4002,Dev_Roof-All-All-2,0.066619947
79,4003,Dev_Roof-All-All-3,0.066619947
79,6220,Dev_Pervious-A-High-All,0.80014016
80,4001,Dev_Roof-All-All-1,0.046090393
80,4002,Dev_Roof-All-All-2,0.046090393
80,4003,Dev_Roof-All-All-3,0.046090393
80,6420,Dev_Pervious-C-High-All,0.861728821
81,4001,Dev_Roof-All-All-1,0.077300098
81,4002,Dev_Roof-All-All-2,0.077300098
81,4003,Dev_Roof-All-All-3,0.077300098
81,6220,Dev_Pervious-A-High-All,0.768099705
82,4001,Dev_Roof-All-All-1,0.557876895
82,6410,Dev_Pervious-C-Low-All,0.442123105
83,4001,Dev_Roof-All-All-1,0.066619947
83,4002,Dev_Roof-All-All-2,0.066619947
83,4003,Dev_Roof-All-All-3,0.066619947
83,6420,Dev_Pervious-C-High-All,0.80014016
84,14000,Water-All-All-All,1
85,4001,Dev_Roof-All-All-1,0.036956306
85,4002,Dev_Roof-All-All-2,0.036956306
85,4003,Dev_Roof-All-All-3,0.036956306
85,6420,Dev_Pervious-C-High-All,0.889131082
86,4001,Dev_Roof-All-All-1,0.077300098
86,4002,Dev_Roof-All-All-2,0.077300098
86,4003,Dev_Roof-All-All-3,0.077300098
86,6420,Dev_Pervious-C-High-All,0.768099705
87,11421,Forest-C-High-1,1
88,11411,Forest-C-Low-1,1
89,10421,Open_Space-C-High-1,1
90,10411,Open_Space-C-Low-1,1
91,4001,Dev_Roof-All-All-1,0.857652155
91,6410,Dev_Pervious-C-Low-All,0.142347845
92,3000,Dev_Residential-All-All-All,0.263006573
92,6420,Dev_Pervious-C-High-All,0.736993427
93,4001,Dev_Roof-All-All-1,0.087668858
93,4002,Dev_Roof-All-All-2,0.087668858
93,4003,Dev_Roof-All-All-3,0.087668858
93,6420,Dev_Pervious-C-High-All,0.736993427
94,3000,Dev_Residential-All-All-All,0.62864502
94,6410,Dev_Pervious-C-Low-All,0.37135498
95,11221,Forest-A-High-1,1
96,11221,Forest-A-High-1,1
97,10221,Open_Space-A-High-1,1
98,4001,Dev_Roof-All-All-1,0.62864502
98,6410,Dev_Pervious-C-Low-All,0.37135498
99,10221,Open_Space-A-High-1,1
100,4001,Dev_Roof-All-All-1,0.087668858
100,4002,Dev_Roof-All-All-2,0.087668858
100,4003,Dev_Roof-All-All-3,0.087668858
100,6220,Dev_Pervious-A-High-All,0.736993427
101,4001,Dev_Roof-All-All-1,0.688017998
101,6420,Dev_Pervious-C-High-All,0.311982002
102,6220,Dev_Pervious-A-High-All,1
103,3000,Dev_Residential-All-All-All,0.846645363
103,6410,Dev_Pervious-C-Low-All,0.153354637
104,4001,Dev_Roof-All-All-1,0.20954834
104,4002,Dev_Roof-All-All-2,0.20954834
104,4003,Dev_Roof-All-All-3,0.20954834
104,6410,Dev_Pervious-C-Low-All,0.37135498
105,11421,Forest-C-High-1,1
106,4001,Dev_Roof-All-All-1,0.657681263
106,6410,Dev_Pervious-C-Low-All,0.342318737
107,3000,Dev_Residential-All-All-All,0.657681263
107,6410,Dev_Pervious-C-Low-All,0.342318737
108,10421,Open_Space-C-High-1,1
109,10411,Open_Space-C-Low-1,1
110,5001,Dev_Road-All-All-1,0.861568727
110,6410,Dev_Pervious-C-Low-All,0.138431273
111,3000,Dev_Residential-All-All-All,0.623228819
111,6410,Dev_Pervious-C-Low-All,0.376771181
112,10411,Open_Space-C-Low-1,1
113,5002,Dev_Road-All-All-2,0.861568727
113,6410,Dev_Pervious-C-Low-All,0.138431273
114,11411,Forest-C-Low-1,1
115,10411,Open_Space-C-Low-1,1
116,11411,Forest-C-Low-1,1
117,5002,Dev_Road-All-All-2,0.846645363
117,6410,Dev_Pervious-C-Low-All,0.153354637
118,11411,Forest-C-Low-1,1
119,5001,Dev_Road-All-All-1,0.846645363
119,6410,Dev_Pervious-C-Low-All,0.153354637
120,4001,Dev_Roof-All-All-1,0.20774294
120,4002,Dev_Roof-All-All-2,0.20774294
120,4003,Dev_Roof-All-All-3,0.20774294
120,6410,Dev_Pervious-C-Low-All,0.376771181
121,5002,Dev_Road-All-All-2,0.857652155
121,6410,Dev_Pervious-C-Low-All,0.142347845
122,4001,Dev_Roof-All-All-1,0.623228819
122,6410,Dev_Pervious-C-Low-All,0.376771181
123,4001,Dev_Roof-All-All-1,0.623228819
123,6410,Dev_Pervious-C-Low-All,0.376771181
124,4001,Dev_Roof-All-All-1,0.82522997
124,6420,Dev_Pervious-C-High-All,0.17477003
125,5003,Dev_Road-All-All-3,0.861568727
125,6410,Dev_Pervious-C-Low-All,0.138431273
126,11411,Forest-C-Low-1,1
127,1000,Dev_Commercial-All-All-All,0.82522997
127,6420,Dev_Pervious-C-High-All,0.17477003
128,4001,Dev_Roof-All-All-1,0.126958457
128,4002,Dev_Roof-All-All-2,0.253916914
128,4003,Dev_Roof-All-All-3,0.444354599
128,6410,Dev_Pervious-C-Low-All,0.17477003
129,4001,Dev_Roof-All-All-1,0.62864502
129,6410,Dev_Pervious-C-Low-All,0.37135498
130,11211,Forest-A-Low-1,1
131,10211,Open_Space-A-Low-1,1
132,10411,Open_Space-C-Low-1,1
133,3000,Dev_Residential-All-All-All,0.62864502
133,6210,Dev_Pervious-A-Low-All,0.37135498
134,10221,Open_Space-A-High-1,1
135,3000,Dev_Residential-All-All-All,0.263006573
135,6210,Dev_Pervious-A-Low-All,0.736993427
136,4001,Dev_Roof-All-All-1,0.20954834
136,4002,Dev_Roof-All-All-2,0.20954834
136,4003,Dev_Roof-All-All-3,0.20954834
136,6210,Dev_Pervious-A-Low-All,0.37135498
137,4001,Dev_Roof-All-All-1,0.227076334
137,4002,Dev_Roof-All-All-2,0.227076334
137,4003,Dev_Roof-All-All-3,0.227076334
137,6220,Dev_Pervious-A-High-All,0.318770998
138,11221,Forest-A-High-1,1
139,3000,Dev_Residential-All-All-All,0.398862018
139,6220,Dev_Pervious-A-High-All,0.601137982
140,3000,Dev_Residential-All-All-All,0.681229002
140,6220,Dev_Pervious-A-High-All,0.318770998
141,4001,Dev_Roof-All-All-1,0.861568727
141,6410,Dev_Pervious-C-Low-All,0.138431273
142,4001,Dev_Roof-All-All-1,0.227076334
142,4002,Dev_Roof-All-All-2,0.227076334
142,4003,Dev_Roof-All-All-3,0.227076334
142,6410,Dev_Pervious-C-Low-All,0.318770998
143,4001,Dev_Roof-All-All-1,0.219227088
143,4002,Dev_Roof-All-All-2,0.219227088
143,4003,Dev_Roof-All-All-3,0.219227088
143,6420,Dev_Pervious-C-High-All,0.342318737
144,3000,Dev_Residential-All-All-All,0.681229002
144,6410,Dev_Pervious-C-Low-All,0.318770998
145,10221,Open_Space-A-High-1,1
146,4001,Dev_Roof-All-All-1,0.210613483
146,4002,Dev_Roof-All-All-2,0.210613483
146,4003,Dev_Roof-All-All-3,0.210613483
146,6210,Dev_Pervious-A-Low-All,0.368159551
147,11221,Forest-A-High-1,1
148,4001,Dev_Roof-All-All-1,0.681229002
148,6220,Dev_Pervious-A-High-All,0.318770998
149,11411,Forest-C-Low-1,1
150,4001,Dev_Roof-All-All-1,0.681229002
150,6410,Dev_Pervious-C-Low-All,0.318770998
151,5001,Dev_Road-All-All-1,0.631840449
151,6410,Dev_Pervious-C-Low-All,0.368159551
152,4001,Dev_Roof-All-All-1,0.776890064
152,6410,Dev_Pervious-C-Low-All,0.223109936
153,5001,Dev_Road-All-All-1,0.631840449
153,6210,Dev_Pervious-A-Low-All,0.368159551
154,10411,Open_Space-C-Low-1,1
155,3000,Dev_Residential-All-All-All,0.688017998
155,6410,Dev_Pervious-C-Low-All,0.311982002
156,11421,Forest-C-High-1,1
157,5001,Dev_Road-All-All-1,0.837832262
157,6410,Dev_Pervious-C-Low-All,0.162167738
158,10411,Open_Space-C-Low-1,1
159,5002,Dev_Road-All-All-2,0.837832262
159,6410,Dev_Pervious-C-Low-All,0.162167738
160,11411,Forest-C-Low-1,1
161,4001,Dev_Roof-All-All-1,0.681229002
161,6410,Dev_Pervious-C-Low-All,0.318770998
162,10421,Open_Space-C-High-1,1
163,4001,Dev_Roof-All-All-1,0.657681263
163,6420,Dev_Pervious-C-High-All,0.342318737
164,4001,Dev_Roof-All-All-1,0.82522997
164,6420,Dev_Pervious-C-High-All,0.17477003
165,11421,Forest-C-High-1,1
166,5002,Dev_Road-All-All-2,0.888326636
166,6420,Dev_Pervious-C-High-All,0.111673364
167,10421,Open_Space-C-High-1,1
168,11421,Forest-C-High-1,1
169,10411,Open_Space-C-Low-1,1
170,3000,Dev_Residential-All-All-All,0.52536258
170,6420,Dev_Pervious-C-High-All,0.47463742
171,4001,Dev_Roof-All-All-1,0.17512086
171,4002,Dev_Roof-All-All-2,0.17512086
171,4003,Dev_Roof-All-All-3,0.17512086
171,6410,Dev_Pervious-C-Low-All,0.47463742
172,4001,Dev_Roof-All-All-1,0.52536258
172,6420,Dev_Pervious-C-High-All,0.47463742
173,4001,Dev_Roof-All-All-1,0.52536258
173,6420,Dev_Pervious-C-High-All,0.47463742
174,10221,Open_Space-A-High-1,1
175,5002,Dev_Road-All-All-2,0.837832262
175,6220,Dev_Pervious-A-High-All,0.162167738
176,5001,Dev_Road-All-All-1,0.888326636
176,6420,Dev_Pervious-C-High-All,0.111673364
177,11221,Forest-A-High-1,1
178,5003,Dev_Road-All-All-3,0.688017998
178,6410,Dev_Pervious-C-Low-All,0.311982002
179,10421,Open_Space-C-High-1,1
180,11421,Forest-C-High-1,1
181,3000,Dev_Residential-All-All-All,0.398862018
181,6410,Dev_Pervious-C-Low-All,0.601137982
182,6420,Dev_Pervious-C-High-All,1
183,5004,Dev_Road-All-All-4,0.861568727
183,6410,Dev_Pervious-C-Low-All,0.138431273
184,5003,Dev_Road-All-All-3,0.857652155
184,6410,Dev_Pervious-C-Low-All,0.142347845
185,4002,Dev_Roof-All-All-2,0.041891613
185,4003,Dev_Roof-All-All-3,0.795940648
185,6410,Dev_Pervious-C-Low-All,0.162167738
186,5003,Dev_Road-All-All-3,0.888326636
186,6410,Dev_Pervious-C-Low-All,0.111673364
187,10411,Open_Space-C-Low-1,1
188,11411,Forest-C-Low-1,1
189,4001,Dev_Roof-All-All-1,0.398862018
189,6410,Dev_Pervious-C-Low-All,0.601137982
190,1000,Dev_Commercial-All-All-All,0.747366113
190,6410,Dev_Pervious-C-Low-All,0.252633887
191,4002,Dev_Roof-All-All-2,0.044416332
191,4003,Dev_Roof-All-All-3,0.843910305
191,6410,Dev_Pervious-C-Low-All,0.111673364
192,4001,Dev_Roof-All-All-1,0.114979402
192,4002,Dev_Roof-All-All-2,0.229958804
192,4003,Dev_Roof-All-All-3,0.402427907
192,6410,Dev_Pervious-C-Low-All,0.252633887
193,4001,Dev_Roof-All-All-1,0.681229002
193,6220,Dev_Pervious-A-High-All,0.318770998
194,4001,Dev_Roof-All-All-1,0.132954006
194,4002,Dev_Roof-All-All-2,0.132954006
194,4003,Dev_Roof-All-All-3,0.132954006
194,6420,Dev_Pervious-C-High-All,0.601137982
195,10411,Open_Space-C-Low-1,1
196,11421,Forest-C-High-1,1
197,3000,Dev_Residential-All-All-All,0.158897653
197,6410,Dev_Pervious-C-Low-All,0.841102347
198,4001,Dev_Roof-All-All-1,0.837832262
198,6410,Dev_Pervious-C-Low-All,0.162167738
199,3000,Dev_Residential-All-All-All,0.861568727
199,6410,Dev_Pervious-C-Low-All,0.138431273
200,6410,Dev_Pervious-C-Low-All,1
201,4001,Dev_Roof-All-All-1,0.158897653
201,6410,Dev_Pervious-C-Low-All,0.841102347
202,11221,Forest-A-High-1,1
203,10221,Open_Space-A-High-1,1
204,11221,Forest-A-High-1,1
205,3000,Dev_Residential-All-All-All,0.138271179
205,6210,Dev_Pervious-A-Low-All,0.861728821
206,4001,Dev_Roof-All-All-1,0.875494343
206,6210,Dev_Pervious-A-Low-All,0.124505657
207,1000,Dev_Commercial-All-All-All,0.875494343
207,6220,Dev_Pervious-A-High-All,0.124505657
208,10221,Open_Space-A-High-1,1
209,6220,Dev_Pervious-A-High-All,1
210,11211,Forest-A-Low-1,1
211,10221,Open_Space-A-High-1,1
212,11221,Forest-A-High-1,1
213,6420,Dev_Pervious-C-High-All,1
214,10221,Open_Space-A-High-1,1
215,10421,Open_Space-C-High-1,1
216,11421,Forest-C-High-1,1
217,11421,Forest-C-High-1,1
218,10421,Open_Space-C-High-1,1
219,3000,Dev_Residential-All-All-All,0.553876328
219,6420,Dev_Pervious-C-High-All,0.446123672
220,4001,Dev_Roof-All-All-1,0.553876328
220,6420,Dev_Pervious-C-High-All,0.446123672
221,4001,Dev_Roof-All-All-1,0.184625443
221,4002,Dev_Roof-All-All-2,0.184625443
221,4003,Dev_Roof-All-All-3,0.184625443
221,6420,Dev_Pervious-C-High-All,0.446123672
222,6220,Dev_Pervious-A-High-All,1
223,3000,Dev_Residential-All-All-All,0.837832262
223,6410,Dev_Pervious-C-Low-All,0.162167738
224,10421,Open_Space-C-High-1,1
225,5001,Dev_Road-All-All-1,0.894312592
225,6420,Dev_Pervious-C-High-All,0.105687408
226,11421,Forest-C-High-1,1
227,5004,Dev_Road-All-All-4,0.842828301
227,6410,Dev_Pervious-C-Low-All,0.157171699
228,11411,Forest-C-Low-1,1
229,10411,Open_Space-C-Low-1,1
230,4001,Dev_Roof-All-All-1,0.553876328
230,6420,Dev_Pervious-C-High-All,0.446123672
231,4001,Dev_Roof-All-All-1,0.517428147
231,6410,Dev_Pervious-C-Low-All,0.482571853
232,3000,Dev_Residential-All-All-All,0.517428147
232,6410,Dev_Pervious-C-Low-All,0.482571853
233,4001,Dev_Roof-All-All-1,0.517428147
233,6410,Dev_Pervious-C-Low-All,0.482571853
234,10411,Open_Space-C-Low-1,1
235,5003,Dev_Road-All-All-3,0.842828301
235,6410,Dev_Pervious-C-Low-All,0.157171699
236,5001,Dev_Road-All-All-1,0.842828301
236,6410,Dev_Pervious-C-Low-All,0.157171699
237,11411,Forest-C-Low-1,1
238,4001,Dev_Roof-All-All-1,0.172476049
238,4002,Dev_Roof-All-All-2,0.172476049
238,4003,Dev_Roof-All-All-3,0.172476049
238,6410,Dev_Pervious-C-Low-All,0.482571853
239,5002,Dev_Road-All-All-2,0.817375521
239,6410,Dev_Pervious-C-Low-All,0.182624479
240,10411,Open_Space-C-Low-1,1
241,11411,Forest-C-Low-1,1
242,4001,Dev_Roof-All-All-1,0.747366113
242,6410,Dev_Pervious-C-Low-All,0.252633887
243,3000,Dev_Residential-All-All-All,0.842828301
243,6410,Dev_Pervious-C-Low-All,0.157171699
244,5002,Dev_Road-All-All-2,0.842828301
244,6410,Dev_Pervious-C-Low-All,0.157171699
245,5001,Dev_Road-All-All-1,0.817375521
245,6410,Dev_Pervious-C-Low-All,0.182624479
246,4001,Dev_Roof-All-All-1,0.842828301
246,6410,Dev_Pervious-C-Low-All,0.157171699
247,1000,Dev_Commercial-All-All-All,0.954763437
247,6410,Dev_Pervious-C-Low-All,0.045236563
248,4001,Dev_Roof-All-All-1,0.954763437
248,6410,Dev_Pervious-C-Low-All,0.045236563
249,11411,Forest-C-Low-1,1
250,10411,Open_Space-C-Low-1,1
251,11411,Forest-C-Low-1,1
252,10411,Open_Space-C-Low-1,1
253,10411,Open_Space-C-Low-1,1
254,11421,Forest-C-High-1,1
255,3000,Dev_Residential-All-All-All,0.161351446
255,6410,Dev_Pervious-C-Low-All,0.838648554
256,4001,Dev_Roof-All-All-1,0.469476038
256,6420,Dev_Pervious-C-High-All,0.530523962
257,11421,Forest-C-High-1,1
258,10421,Open_Space-C-High-1,1
259,3000,Dev_Residential-All-All-All,0.436433531
259,6410,Dev_Pervious-C-Low-All,0.563566469
260,10411,Open_Space-C-Low-1,1
261,3000,Dev_Residential-All-All-All,0.469476038
261,6420,Dev_Pervious-C-High-All,0.530523962
262,11411,Forest-C-Low-1,1
263,5002,Dev_Road-All-All-2,0.884469799
263,6410,Dev_Pervious-C-Low-All,0.115530201
264,10411,Open_Space-C-Low-1,1
265,11421,Forest-C-High-1,1
266,5002,Dev_Road-All-All-2,0.813643766
266,6410,Dev_Pervious-C-Low-All,0.186356234
267,11411,Forest-C-Low-1,1
268,10421,Open_Space-C-High-1,1
269,4001,Dev_Roof-All-All-1,0.145477844
269,4002,Dev_Roof-All-All-2,0.145477844
269,4003,Dev_Roof-All-All-3,0.145477844
269,6410,Dev_Pervious-C-Low-All,0.563566469
270,5003,Dev_Road-All-All-3,0.884469799
270,6410,Dev_Pervious-C-Low-All,0.115530201
271,6420,Dev_Pervious-C-High-All,1
272,4001,Dev_Roof-All-All-1,0.156492013
272,4002,Dev_Roof-All-All-2,0.156492013
272,4003,Dev_Roof-All-All-3,0.156492013
272,6410,Dev_Pervious-C-Low-All,0.530523962
273,4001,Dev_Roof-All-All-1,0.436433531
273,6410,Dev_Pervious-C-Low-All,0.563566469
274,10411,Open_Space-C-Low-1,1
275,4001,Dev_Roof-All-All-1,0.875494343
275,6220,Dev_Pervious-A-High-All,0.124505657
276,4001,Dev_Roof-All-All-1,0.134691437
276,4002,Dev_Roof-All-All-2,0.269382875
276,4003,Dev_Roof-All-All-3,0.471420031
276,6220,Dev_Pervious-A-High-All,0.124505657
277,11411,Forest-C-Low-1,1
278,4001,Dev_Roof-All-All-1,0.436433531
278,6410,Dev_Pervious-C-Low-All,0.563566469
279,4001,Dev_Roof-All-All-1,0.134691437
279,4002,Dev_Roof-All-All-2,0.269382875
279,4003,Dev_Roof-All-All-3,0.471420031
279,6420,Dev_Pervious-C-High-All,0.124505657
280,1000,Dev_Commercial-All-All-All,0.875494343
280,6420,Dev_Pervious-C-High-All,0.124505657
281,5003,Dev_Road-All-All-3,0.837832262
281,6220,Dev_Pervious-A-High-All,0.162167738
282,5001,Dev_Road-All-All-1,0.837832262
282,6220,Dev_Pervious-A-High-All,0.162167738
283,4002,Dev_Roof-All-All-2,0.043078436
283,4003,Dev_Roof-All-All-3,0.818490291
283,6410,Dev_Pervious-C-Low-All,0.138431273
284,11411,Forest-C-Low-1,1
285,10411,Open_Space-C-Low-1,1
286,10411,Open_Space-C-Low-1,1
287,11411,Forest-C-Low-1,1
288,3000,Dev_Residential-All-All-All,0.157810692
288,6410,Dev_Pervious-C-Low-All,0.842189308
289,5002,Dev_Road-All-All-2,0.894312592
289,6410,Dev_Pervious-C-Low-All,0.105687408
290,5001,Dev_Road-All-All-1,0.813643766
290,6420,Dev_Pervious-C-High-All,0.186356234
291,4001,Dev_Roof-All-All-1,0.148867719
291,4002,Dev_Roof-All-All-2,0.297735439
291,4003,Dev_Roof-All-All-3,0.521037018
291,6410,Dev_Pervious-C-Low-All,0.032359824
292,1000,Dev_Commercial-All-All-All,0.967640176
292,6410,Dev_Pervious-C-Low-All,0.032359824
293,5001,Dev_Road-All-All-1,0.884469799
293,6410,Dev_Pervious-C-Low-All,0.115530201
294,4001,Dev_Roof-All-All-1,0.157810692
294,6410,Dev_Pervious-C-Low-All,0.842189308
295,4002,Dev_Roof-All-All-2,0.04422349
295,4003,Dev_Roof-All-All-3,0.840246309
295,6410,Dev_Pervious-C-Low-All,0.115530201
296,4001,Dev_Roof-All-All-1,0.052603564
296,4002,Dev_Roof-All-All-2,0.052603564
296,4003,Dev_Roof-All-All-3,0.052603564
296,6410,Dev_Pervious-C-Low-All,0.842189308
297,11421,Forest-C-High-1,1
298,10421,Open_Space-C-High-1,1
299,4001,Dev_Roof-All-All-1,0.195933824
299,4002,Dev_Roof-All-All-2,0.195933824
299,4003,Dev_Roof-All-All-3,0.195933824
299,6420,Dev_Pervious-C-High-All,0.412198528
300,6420,Dev_Pervious-C-High-All,1
301,5003,Dev_Road-All-All-3,0.817375521
301,6410,Dev_Pervious-C-Low-All,0.182624479
302,4001,Dev_Roof-All-All-1,0.231900295
302,6410,Dev_Pervious-C-Low-All,0.768099705
303,4001,Dev_Roof-All-All-1,0.469476038
303,6420,Dev_Pervious-C-High-All,0.530523962
304,3000,Dev_Residential-All-All-All,0.587801472
304,6420,Dev_Pervious-C-High-All,0.412198528
305,4002,Dev_Roof-All-All-2,0.040682188
305,4003,Dev_Roof-All-All-3,0.772961577
305,6410,Dev_Pervious-C-Low-All,0.186356234
306,10411,Open_Space-C-Low-1,1
307,11421,Forest-C-High-1,1
308,5004,Dev_Road-All-All-4,0.801118168
308,6410,Dev_Pervious-C-Low-All,0.198881832
309,5003,Dev_Road-All-All-3,0.801118168
309,6410,Dev_Pervious-C-Low-All,0.198881832
310,11421,Forest-C-High-1,1
311,4001,Dev_Roof-All-All-1,0.587801472
311,6420,Dev_Pervious-C-High-All,0.412198528
312,10411,Open_Space-C-Low-1,1
313,3000,Dev_Residential-All-All-All,0.884469799
313,6420,Dev_Pervious-C-High-All,0.115530201
314,4001,Dev_Roof-All-All-1,0.146886683
314,4002,Dev_Roof-All-All-2,0.293773365
314,4003,Dev_Roof-All-All-3,0.514103389
314,6410,Dev_Pervious-C-Low-All,0.045236563
315,4001,Dev_Roof-All-All-1,0.884469799
315,6410,Dev_Pervious-C-Low-All,0.115530201
316,5003,Dev_Road-All-All-3,0.837832262
316,6410,Dev_Pervious-C-Low-All,0.162167738
317,1000,Dev_Commercial-All-All-All,0.947320679
317,6410,Dev_Pervious-C-Low-All,0.052679321
318,11421,Forest-C-High-1,1
319,4001,Dev_Roof-All-All-1,0.947320679
319,6410,Dev_Pervious-C-Low-All,0.052679321
320,4001,Dev_Roof-All-All-1,0.817375521
320,6420,Dev_Pervious-C-High-All,0.182624479
321,10421,Open_Space-C-High-1,1
322,11411,Forest-C-Low-1,1
323,10411,Open_Space-C-Low-1,1
324,4001,Dev_Roof-All-All-1,0.161351446
324,6420,Dev_Pervious-C-High-All,0.838648554
325,4001,Dev_Roof-All-All-1,0.587801472
325,6410,Dev_Pervious-C-Low-All,0.412198528
326,4002,Dev_Roof-All-All-2,0.042141415
326,4003,Dev_Roof-All-All-3,0.800686886
326,6410,Dev_Pervious-C-Low-All,0.157171699
327,4001,Dev_Roof-All-All-1,0.053783815
327,4002,Dev_Roof-All-All-2,0.053783815
327,4003,Dev_Roof-All-All-3,0.053783815
327,6410,Dev_Pervious-C-Low-All,0.838648554
328,6420,Dev_Pervious-C-High-All,1
329,4001,Dev_Roof-All-All-1,0.398862018
