Value,HRUCODE,HRUDESC,FRAC
4713,7400,Dev_Septics-C-All-All,0.000986511
4714,5001,Dev_Road-All-All-1,0.550965121
4714,6420,Dev_Pervious-C-High-All,0.441598321
4714,7400,Dev_Septics-C-All-All,0.007436559
4715,7400,Dev_Septics-C-All-All,0.006725844
4715,10411,Open_Space-C-Low-1,0.993274156
4716,11111,Forest-A+-Low-1,1
4717,4001,Dev_Roof-All-All-1,0.22461788
4717,4002,Dev_Roof-All-All-2,0.22461788
4717,4003,Dev_Roof-All-All-3,0.22461788
4717,6410,Dev_Pervious-C-Low-All,0.326146361
4718,10311,Open_Space-B-Low-1,1
4719,7300,Dev_Septics-B-All-All,0.008672124
4719,9222,Pasture-A-High-2,0.991327876
4720,7400,Dev_Septics-C-All-All,0.009760144
4720,9411,Pasture-C-Low-1,1.09939E-16
4720,9412,Pasture-C-Low-2,0.990239856
4721,11422,Forest-C-High-2,1
4722,10111,Open_Space-A+-Low-1,1
4723,11311,Forest-B-Low-1,1
4724,7400,Dev_Septics-C-All-All,0.016561205
4724,10421,Open_Space-C-High-1,0.983438795
4725,7400,Dev_Septics-C-All-All,0.002628888
4725,11421,Forest-C-High-1,0.997371112
4726,7300,Dev_Septics-B-All-All,0.006725844
4726,11221,Forest-A-High-1,0.993274156
4727,7300,Dev_Septics-B-All-All,0.006725844
4727,9221,Pasture-A-High-1,0.993274156
4728,4001,Dev_Roof-All-All-1,0.070308548
4728,4002,Dev_Roof-All-All-2,0.070308548
4728,4003,Dev_Roof-All-All-3,0.070308548
4728,6410,Dev_Pervious-C-Low-All,0.789074337
4728,7400,Dev_Septics-C-All-All,1.82959E-08
4729,7300,Dev_Septics-B-All-All,0.006725844
4729,9221,Pasture-A-High-1,1.10276E-16
4729,9222,Pasture-A-High-2,0.993274156
4730,7400,Dev_Septics-C-All-All,0.009760144
4730,9411,Pasture-C-Low-1,1.09939E-16
4730,9412,Pasture-C-Low-2,0.990239856
4731,11422,Forest-C-High-2,1
4732,5001,Dev_Road-All-All-1,0.622605935
4732,6410,Dev_Pervious-C-Low-All,0.373710645
4732,7400,Dev_Septics-C-All-All,0.003683421
4733,3000,Dev_Residential-All-All-All,0.614717152
4733,6110,Dev_Pervious-A+-Low-All,0.385282848
4734,7400,Dev_Septics-C-All-All,0.01008114
4734,9422,Pasture-C-High-2,0.692943202
4734,10421,Open_Space-C-High-1,0.296975658
4735,5002,Dev_Road-All-All-2,0.831715493
4735,6110,Dev_Pervious-A+-Low-All,0.168284507
4736,3000,Dev_Residential-All-All-All,0.673853639
4736,6310,Dev_Pervious-B-Low-All,0.326146361
4737,5001,Dev_Road-All-All-1,0.56459652
4737,6410,Dev_Pervious-C-Low-All,0.432475024
4737,7400,Dev_Septics-C-All-All,0.002928456
4738,10111,Open_Space-A+-Low-1,1
4739,10111,Open_Space-A+-Low-1,1
4740,11111,Forest-A+-Low-1,1
4741,6120,Dev_Pervious-A+-High-All,1.09903E-16
4741,7300,Dev_Septics-B-All-All,1.11923E-18
4741,14000,Water-All-All-All,1
4742,11311,Forest-B-Low-1,1
4743,7400,Dev_Septics-C-All-All,0.016561205
4743,11421,Forest-C-High-1,0.983438795
4744,7400,Dev_Septics-C-All-All,0.008672124
4744,9422,Pasture-C-High-2,0.991327876
4745,7400,Dev_Septics-C-All-All,0.01008114
4745,9422,Pasture-C-High-2,0.692943202
4745,10421,Open_Space-C-High-1,0.296975658
4746,7400,Dev_Septics-C-All-All,0.005114987
4746,10421,Open_Space-C-High-1,0.994885013
4747,5002,Dev_Road-All-All-2,0.562948043
4747,6410,Dev_Pervious-C-Low-All,0.433626807
4747,7400,Dev_Septics-C-All-All,0.00342515
4748,10311,Open_Space-B-Low-1,1
4749,1000,Dev_Commercial-All-All-All,0.960247259
4749,6310,Dev_Pervious-B-Low-All,0.039752741
4750,7400,Dev_Septics-C-All-All,2.89486E-06
4750,9421,Pasture-C-High-1,0.108217443
4750,10421,Open_Space-C-High-1,0.891779663
4751,11422,Forest-C-High-2,1
4752,12421,Road_Rural-C-High-1,1
4753,11422,Forest-C-High-2,1
4754,7400,Dev_Septics-C-All-All,0.009760144
4754,11411,Forest-C-Low-1,0.990239856
4755,5002,Dev_Road-All-All-2,0.813051111
4755,6110,Dev_Pervious-A+-Low-All,0.186948889
4756,11111,Forest-A+-Low-1,1
4757,4001,Dev_Roof-All-All-1,0.614717152
4757,6110,Dev_Pervious-A+-Low-All,0.385282848
4758,7400,Dev_Septics-C-All-All,0.016561205
4758,11421,Forest-C-High-1,0.983438795
4759,7400,Dev_Septics-C-All-All,0.008672124
4759,9422,Pasture-C-High-2,0.991327876
4760,10111,Open_Space-A+-Low-1,1
4761,3000,Dev_Residential-All-All-All,0.02720157
4761,6420,Dev_Pervious-C-High-All,0.962991513
4761,7400,Dev_Septics-C-All-All,0.009806917
4762,7400,Dev_Septics-C-All-All,2.89486E-06
4762,9421,Pasture-C-High-1,0.108217443
4762,10421,Open_Space-C-High-1,0.891779663
4763,11111,Forest-A+-Low-1,1
4764,3000,Dev_Residential-All-All-All,0.347880125
4764,6110,Dev_Pervious-A+-Low-All,0.652119875
4765,5004,Dev_Road-All-All-4,0.847735155
4765,6220,Dev_Pervious-A-High-All,0.152264845
4766,7400,Dev_Septics-C-All-All,0.002628888
4766,11421,Forest-C-High-1,0.997371112
4767,7400,Dev_Septics-C-All-All,0.000130723
4767,12411,Road_Rural-C-Low-1,0.999869277
4768,11221,Forest-A-High-1,1
4769,10211,Open_Space-A-Low-1,1
4770,7300,Dev_Septics-B-All-All,0.006725844
4770,11221,Forest-A-High-1,0.993274156
4771,7400,Dev_Septics-C-All-All,0.016561205
4771,10421,Open_Space-C-High-1,0.983438795
4772,7400,Dev_Septics-C-All-All,0.009760144
4772,9412,Pasture-C-Low-2,0.990239856
4773,7400,Dev_Septics-C-All-All,0.009760144
4773,9422,Pasture-C-High-2,0.990239856
4774,7400,Dev_Septics-C-All-All,0.009760144
4774,9411,Pasture-C-Low-1,0.990239856
4775,7400,Dev_Septics-C-All-All,0.009760144
4775,9411,Pasture-C-Low-1,0.044537884
4775,9412,Pasture-C-Low-2,0.945701972
4776,4001,Dev_Roof-All-All-1,0.831715493
4776,6410,Dev_Pervious-C-Low-All,0.168284507
4777,7400,Dev_Septics-C-All-All,0.016561205
4777,10421,Open_Space-C-High-1,0.983438795
4778,7400,Dev_Septics-C-All-All,0.005114987
4778,10421,Open_Space-C-High-1,0.994885013
4779,7400,Dev_Septics-C-All-All,0.009760144
4779,9411,Pasture-C-Low-1,0.990239856
4780,7300,Dev_Septics-B-All-All,0.00089841
4780,10221,Open_Space-A-High-1,0.99910159
4781,4001,Dev_Roof-All-All-1,0.115960042
4781,4002,Dev_Roof-All-All-2,0.115960042
4781,4003,Dev_Roof-All-All-3,0.115960042
4781,6110,Dev_Pervious-A+-Low-All,0.652119875
4782,11311,Forest-B-Low-1,1
4783,7400,Dev_Septics-C-All-All,0.002049328
4783,10421,Open_Space-C-High-1,0.997950672
4784,5001,Dev_Road-All-All-1,0.039735406
4784,6420,Dev_Pervious-C-High-All,0.95193706
4784,7400,Dev_Septics-C-All-All,0.008327534
4785,7400,Dev_Septics-C-All-All,0.009760144
4785,9411,Pasture-C-Low-1,0.044537884
4785,9412,Pasture-C-Low-2,0.945701972
4786,6410,Dev_Pervious-C-Low-All,1
4787,7400,Dev_Septics-C-All-All,0.006725844
4787,11421,Forest-C-High-1,0.993274156
4788,10311,Open_Space-B-Low-1,1
4789,4001,Dev_Roof-All-All-1,0.960247259
4789,6310,Dev_Pervious-B-Low-All,0.039752741
4790,7400,Dev_Septics-C-All-All,0.002049328
4790,11421,Forest-C-High-1,0.997950672
4791,7400,Dev_Septics-C-All-All,0.005114987
4791,10411,Open_Space-C-Low-1,0.994885013
4792,6110,Dev_Pervious-A+-Low-All,1
4793,10211,Open_Space-A-Low-1,1
4794,5001,Dev_Road-All-All-1,0.831715493
4794,6210,Dev_Pervious-A-Low-All,0.168284507
4795,3000,Dev_Residential-All-All-All,0.043775885
4795,6420,Dev_Pervious-C-High-All,0.940387892
4795,7400,Dev_Septics-C-All-All,0.015836223
4796,7400,Dev_Septics-C-All-All,0.005114987
4796,11411,Forest-C-Low-1,0.994885013
4797,7300,Dev_Septics-B-All-All,0.00089841
4797,11221,Forest-A-High-1,0.99910159
4798,11111,Forest-A+-Low-1,1
4799,10111,Open_Space-A+-Low-1,1
4800,11111,Forest-A+-Low-1,1
4801,11411,Forest-C-Low-1,1
4802,5001,Dev_Road-All-All-1,0.835678875
4802,6410,Dev_Pervious-C-Low-All,0.164321125
4803,10111,Open_Space-A+-Low-1,1
4804,5001,Dev_Road-All-All-1,0.835678875
4804,6110,Dev_Pervious-A+-Low-All,0.164321125
4805,10411,Open_Space-C-Low-1,1
4806,3000,Dev_Residential-All-All-All,0.146074931
4806,6310,Dev_Pervious-B-Low-All,0.853925069
4807,5003,Dev_Road-All-All-3,0.831715493
4807,6110,Dev_Pervious-A+-Low-All,0.168284507
4808,3000,Dev_Residential-All-All-All,0.146074931
4808,6220,Dev_Pervious-A-High-All,0.853925069
4809,7300,Dev_Septics-B-All-All,0.00374126
4809,9311,Pasture-B-Low-1,0.99625874
4810,4001,Dev_Roof-All-All-1,0.014591962
4810,4002,Dev_Roof-All-All-2,0.014591962
4810,4003,Dev_Roof-All-All-3,0.014591962
4810,6420,Dev_Pervious-C-High-All,0.940387892
4810,7400,Dev_Septics-C-All-All,0.015836223
4811,7300,Dev_Septics-B-All-All,0.005114987
4811,12421,Road_Rural-C-High-1,0.994885013
4812,7300,Dev_Septics-B-All-All,0.00374126
4812,9311,Pasture-B-Low-1,0.99625874
4813,7300,Dev_Septics-B-All-All,0.005114987
4813,10321,Open_Space-B-High-1,0.994885013
4814,7300,Dev_Septics-B-All-All,0.006725844
4814,11221,Forest-A-High-1,0.993274156
4815,11111,Forest-A+-Low-1,1
4816,12421,Road_Rural-C-High-1,1
4817,5001,Dev_Road-All-All-1,0.846049356
4817,6110,Dev_Pervious-A+-Low-All,0.153950644
4818,4001,Dev_Roof-All-All-1,0.147730347
4818,4002,Dev_Roof-All-All-2,0.295460695
4818,4003,Dev_Roof-All-All-3,0.517056216
4818,6310,Dev_Pervious-B-Low-All,0.039752741
4819,7300,Dev_Septics-B-All-All,0.006725844
4819,9221,Pasture-A-High-1,1.10276E-16
4819,9222,Pasture-A-High-2,0.993274156
4820,11211,Forest-A-Low-1,1
4821,10111,Open_Space-A+-Low-1,1
4822,11111,Forest-A+-Low-1,1
4823,4001,Dev_Roof-All-All-1,0.15654016
4823,6310,Dev_Pervious-B-Low-All,0.840304238
4823,7300,Dev_Septics-B-All-All,0.003155602
4824,3000,Dev_Residential-All-All-All,0.036681083
4824,6420,Dev_Pervious-C-High-All,0.961344761
4824,7400,Dev_Septics-C-All-All,0.001974157
4825,7300,Dev_Septics-B-All-All,0.005114987
4825,11321,Forest-B-High-1,0.994885013
4826,10111,Open_Space-A+-Low-1,1
4827,5001,Dev_Road-All-All-1,0.831715493
4827,6110,Dev_Pervious-A+-Low-All,0.168284507
4828,7400,Dev_Septics-C-All-All,0.009760144
4828,9422,Pasture-C-High-2,0.990239856
4829,7400,Dev_Septics-C-All-All,0.009760144
4829,9412,Pasture-C-Low-2,0.990239856
4830,4001,Dev_Roof-All-All-1,0.036681083
